Ten,To_chuc_cap,Nhom,Cap,Ai_nen_thi,Dieu_kien_dang_ky,Noi_dung_chinh,Hieu_luc_gia_han,Chi_phi_tuong_doi,Tuan_hoc_uoc_luong,Tien_de_tiep_theo,Gia_tri_thi_truong_VN,Chuong_sach,Nguon_hoc_chinh_thuc,Ngay_bien_soan
CAPM,PMI,1,L0,Sinh viên/fresher muốn có nền tảng PM,Theo điều kiện chính thức của PMI,Kiến thức nền quản lý dự án,Theo quy định của PMI,$$,6-10,PMP,Trung bình (định tính),Ch01-Ch04; Phần 1-3,PMBOK Guide & tài liệu PMI,2026-09-20
PMP,PMI,1,L2,PM đã dẫn dự án end-to-end,Theo điều kiện kinh nghiệm chính thức của PMI,Con người / Quy trình / Môi trường kinh doanh,Cần gia hạn theo chu kỳ (PDU),$$$,10-14,PgMP; PMI-RMP,Cao — chuẩn được nhắc nhiều trong tin tuyển dụng,Toàn sách,PMBOK Guide; Agile Practice Guide,2026-09-20
PgMP,PMI,1,L3,Người quản lý chương trình nhiều dự án,Theo điều kiện chính thức của PMI,Quản lý chương trình,Theo quy định của PMI,$$$,12-16,PfMP,Thấp-trung bình,Ch26; Ch41,Tài liệu PMI,2026-09-20
PfMP,PMI,1,L3,Người quản lý danh mục dự án,Theo điều kiện chính thức của PMI,Quản lý danh mục,Theo quy định của PMI,$$$,12-16,,Thấp,Ch41,Tài liệu PMI,2026-09-20
PRINCE2 Foundation/Practitioner,PeopleCert (AXELOS),1,L1-L2,PM làm dự án khu vực công/châu Âu/Anh/Úc,Practitioner cần chứng chỉ tiền đề theo quy định,7 nguyên tắc / chủ đề / quy trình,Theo quy định của tổ chức cấp,$$,4-8,PRINCE2 Practitioner,Trung bình (tuỳ khách hàng),Ch03; Ch17,Manual PRINCE2,2026-09-20
IPMA Level D/C/B/A,IPMA,1,L1-L3,PM hướng chuẩn châu Âu,Theo quy định IPMA,Năng lực kỹ thuật/hành vi/bối cảnh,Theo quy định IPMA,$$$,8-16,Cấp cao hơn,Thấp,Ch02; Ch27,IPMA ICB,2026-09-20
CompTIA Project+,CompTIA,1,L0-L1,Người mới vào nghề PM,Không yêu cầu kinh nghiệm cứng,Nền tảng quản lý dự án,Theo quy định CompTIA,$$,6-8,PMP,Thấp,Ch01-Ch04,CompTIA,2026-09-20
Google Project Management Certificate,Google/Coursera,1,L0,Người mới hoàn toàn,Không,Nhập môn PM và Agile,Không có hạn (chứng nhận khoá học),$,8-16,CAPM/PSM I,Thấp-trung bình,Ch01-Ch04,Coursera,2026-09-20
PSM I,Scrum.org,2,L1,Dev/QA/BA/PM làm Scrum,Không yêu cầu khoá bắt buộc,Scrum Guide,Không hết hạn,$,4-8,PSM II; PSPO I,Cao trong công ty Agile,Ch23; Ch24,Scrum Guide,2026-09-20
PSM II/III,Scrum.org,2,L2,Scrum Master kinh nghiệm,PSM I trước,Scrum nâng cao,Không hết hạn,$$,8-12,PSM III,Trung bình,Ch23; Ch26,Scrum Guide,2026-09-20
PSPO I/II/III,Scrum.org,2,L1-L2,Product Owner/PM ảnh hưởng backlog,Không,Product ownership,Không hết hạn,$,4-8,PSPO II,Trung bình-cao,Ch24,Scrum Guide,2026-09-20
PAL-E,Scrum.org,2,L1,Người lãnh đạo hỗ trợ đội Agile,Không,Lãnh đạo Agile,Không hết hạn,$,3-5,,Thấp,Ch27,Scrum.org,2026-09-20
PSK,Scrum.org,2,L1,Người làm Kanban,Không,Kanban,Không hết hạn,$,3-5,,Thấp,Ch25,Kanban Guide,2026-09-20
