WBS_ID,Task,O_lac_quan,M_kha_di,P_bi_quan,PERT_E,SD,Variance,Ghi_chu
3.5.3,Dịch vụ đơn hàng và vòng đời,50,65,95,=(C2+4*D2+E2)/6,=(E2-C2)/6,=G2^2,
3.5.5,Dịch vụ thanh toán và đối soát,40,55,85,=(C3+4*D3+E3)/6,=(E3-C3)/6,=G3^2,
3.1.5,Theo dõi đơn và bản đồ (KH),50,70,100,=(C4+4*D4+E4)/6,=(E4-C4)/6,=G4^2,
3.1.3,Giỏ hàng và đặt đơn,45,65,90,=(C5+4*D5+E5)/6,=(E5-C5)/6,=G5^2,
6.1.1,Tích hợp PayEasy (chưa gồm chờ chứng nhận),30,40,70,=(C6+4*D6+E6)/6,=(E6-C6)/6,=G6^2,
3.5.7,Theo dõi thời gian thực,30,40,65,=(C7+4*D7+E7)/6,=(E7-C7)/6,=G7^2,
3.3.2,Nhận chuyến và điều hướng,45,60,85,=(C8+4*D8+E8)/6,=(E8-C8)/6,=G8^2,
3.2.2,Nhận và xử lý đơn (NH),30,45,65,=(C9+4*D9+E9)/6,=(E9-C9)/6,=G9^2,
4.2.1,Kiểm thử chức năng theo sprint,90,120,160,=(C10+4*D10+E10)/6,=(E10-C10)/6,=G10^2,
2.1.2,Đặc tả story và tiêu chí,70,90,120,=(C11+4*D11+E11)/6,=(E11-C11)/6,=G11^2,
3.5.4,Ghép tài xế và định tuyến,35,50,75,=(C12+4*D12+E12)/6,=(E12-C12)/6,=G12^2,
3.1.4,Thanh toán thẻ và COD (client),35,50,75,=(C13+4*D13+E13)/6,=(E13-C13)/6,=G13^2,
TONG,Tổng 12 gói lớn,=SUM(C2:C13),=SUM(D2:D13),=SUM(E2:E13),=SUM(F2:F13),=SQRT(SUM(H2:H13)),=SUM(H2:H13),SD tổng = căn tổng phương sai (giả định độc lập)
KHOANG_80,Khoảng tin cậy ~80%,,,,=F14-1.28*G14,=F14+1.28*G14,,Cận dưới – cận trên (ngày công)
KHOANG_95,Khoảng tin cậy ~95%,,,,=F14-1.96*G14,=F14+1.96*G14,,Cận dưới – cận trên (ngày công)
