Task_ID,Task,Start,End,Duration_wd,Predecessors,Resource,Percent_Complete,Critical,Float_wd,Ghi_chu
M01,"Kickoff (mốc)",2026-01-05,2026-01-05,0,,"Cả đội",0,No,6,"Mốc"
S02,"Sprint 0: chuẩn bị, chốt scope, WBS",2026-01-12,2026-02-06,20,M01,"Hà, Lan, Dũng",0,No,2,"Kéo dài 4 tuần (kế hoạch 2 tuần) do chờ Backend và chốt scope"
S03,"Kiến trúc và API contract (2.3)",2026-01-12,2026-01-30,15,M01,"Dũng",0,No,10,""
S04,"Hạ tầng và CI/CD nền (5.1)",2026-02-02,2026-02-27,15,S03,"Ánh (50%)",0,No,151,""
S05,"UX/UI: wireframe và UI (2.2)",2026-01-19,2026-06-26,107,M01,"Mai Anh (50%)",0,No,69,"Thiết kế trước dev 1 sprint"
S06,"Sprint 1: nền tảng (đăng nhập, khung app)",2026-02-09,2026-02-27,10,S03,"Cả đội",0,No,151,"Gồm tuần Tết; tag v0.1.0 cuối sprint"
S07,"Backend lõi: tài khoản, thực đơn, đơn hàng (3.5.1–3.5.3)",2026-02-09,2026-05-22,67,S03,"Sơn, Backend 2",0,No,5,""
S08,"PayEasy cấp sandbox (mốc vendor)",2026-03-27,2026-03-27,0,,"Yến (PayEasy)",0,Yes,0,"Mốc bên ngoài, hứa tại kickoff"
S09,"Tích hợp PayEasy sandbox và kiểm thử chứng nhận (6.1.1)",2026-03-30,2026-04-24,20,S08;S03,"Dũng, Backend 2",0,Yes,0,"Đường găng"
S10,"Vendor cấp chứng nhận (chờ bên ngoài)",2026-04-28,2026-05-29,22,S09,"PayEasy",0,Yes,0,"Đường găng; báo trễ 3 tuần ở tuần 16"
S11,"Thanh toán end-to-end và đối soát (3.5.5, 3.1.4)",2026-06-01,2026-06-26,20,S10;S07,"Backend 2, Tuấn",0,Yes,0,"Đường găng"
S12,"Kiểm thử bảo mật và tích hợp thanh toán (4.2.4)",2026-06-29,2026-07-17,15,S11,"Nam, QA",0,Yes,0,"Đường găng"
S13,"App Khách hàng (3.1)",2026-02-09,2026-07-10,102,S03,"Khoa, Tuấn, Quỳnh",0,No,5,""
S14,"App Nhà hàng và Admin web (3.2, 3.4)",2026-02-09,2026-07-10,102,S03,"FE Web",0,No,5,""
S15,"App Tài xế và bản đồ (3.3, 6.2.2)",2026-04-20,2026-07-10,57,S03,"Quỳnh, Tuấn",0,No,5,""
S16,"Backend: ghép tài xế, realtime, thông báo, dữ liệu (3.5.4, 3.5.6–3.5.8)",2026-05-25,2026-07-10,35,S07,"Backend 2",0,No,5,""
S17,"Kiểm thử chức năng theo sprint (4.2.1–4.2.2)",2026-02-09,2026-07-15,105,S02,"Nam, QA",0,No,2,""
S18,"Demo chạy thật cho HĐQT (mốc)",2026-06-03,2026-06-03,0,,"Hà, Bảo",0,No,86,"Thoả thuận ở tuần 6"
S19,"Scope Freeze (mốc)",2026-07-13,2026-07-13,0,,"Hà, Châu",0,No,58,"Không nhận phạm vi mới"
S20,"Cắt release/1.0.0, tag rc.1, code freeze",2026-07-20,2026-07-24,5,S12;S13;S14;S15;S16;S17,"Dũng, Ánh",0,Yes,0,"Đường găng"
S21,"UAT vòng 1 (rc.1)",2026-07-27,2026-08-21,20,S20,"Châu, Huy, Nam",0,Yes,0,"Đường găng"
S22,"Go/No-Go lần 1 = No-Go (mốc)",2026-08-21,2026-08-21,0,S21,"Bảo, Hà",0,Yes,0,"Đường găng"
S23,"Sửa lỗi Critical/High, tag rc.2",2026-08-24,2026-09-04,9,S22,"Cả đội",0,Yes,0,"Đường găng"
S24,"UAT vòng 2 (retest, regression)",2026-09-07,2026-09-16,8,S23,"Châu, Huy, Nam",0,Yes,0,"Đường găng"
S25,"Go/No-Go lần 2 = Go (mốc)",2026-09-16,2026-09-16,0,S24,"Bảo, Hà",0,Yes,0,"Đường găng"
S26,"Chuẩn bị cutover, đào tạo, tài liệu vận hành (7.1)",2026-09-17,2026-10-02,12,S25,"Dũng, Lan, Ánh",0,Yes,0,"Đường găng"
S27,"Go-live 02:00 thứ Bảy (mốc)",2026-10-03,2026-10-03,0,S26,"Cả đội",0,Yes,0,"Đường găng; tag v1.0.0"
S28,"Hypercare 4 tuần",2026-10-03,2026-10-30,20,S27,"Hà, Dũng, Nam",0,,,"Sau go-live"
S29,"Đóng dự án: nghiệm thu, lessons learned",2026-11-02,2026-11-13,10,S28,"Hà",0,,,"Tuần 44"
