Section,Label,Date,Ideal_or_Committed,Actual_or_Completed,Rolling_3_avg
Sprint7_Burndown,Bắt đầu,2026-05-11,34,34,
Sprint7_Burndown,Ngày 1,2026-05-11,"=ROUND(34-34/10*1,1)",34,
Sprint7_Burndown,Ngày 2,2026-05-12,"=ROUND(34-34/10*2,1)",34,
Sprint7_Burndown,Ngày 3,2026-05-13,"=ROUND(34-34/10*3,1)",32,
Sprint7_Burndown,Ngày 4,2026-05-14,"=ROUND(34-34/10*4,1)",31,
Sprint7_Burndown,Ngày 5,2026-05-15,"=ROUND(34-34/10*5,1)",29,
Sprint7_Burndown,Ngày 6,2026-05-18,"=ROUND(34-34/10*6,1)",27,
Sprint7_Burndown,Ngày 7,2026-05-19,"=ROUND(34-34/10*7,1)",25,
Sprint7_Burndown,Ngày 8,2026-05-20,"=ROUND(34-34/10*8,1)",22,
Sprint7_Burndown,Ngày 9,2026-05-21,"=ROUND(34-34/10*9,1)",17,
Sprint7_Burndown,Ngày 10,2026-05-22,"=ROUND(34-34/10*10,1)",11,
Velocity,Sprint 1,,55,22,
Velocity,Sprint 2,,24,23,
Velocity,Sprint 3,,28,30,"=ROUND(AVERAGE(E13:E15),1)"
Velocity,Sprint 4,,32,34,"=ROUND(AVERAGE(E14:E16),1)"
Velocity,Sprint 5,,36,36,"=ROUND(AVERAGE(E15:E17),1)"
Velocity,Sprint 6,,34,32,"=ROUND(AVERAGE(E16:E18),1)"
Velocity,Sprint 7,,34,31,"=ROUND(AVERAGE(E17:E19),1)"
Velocity,Sprint 8,,36,34,"=ROUND(AVERAGE(E18:E20),1)"
Velocity,Sprint 9,,38,38,"=ROUND(AVERAGE(E19:E21),1)"
Velocity,Sprint 10,,40,40,"=ROUND(AVERAGE(E20:E22),1)"
Velocity,Sprint 11,,42,41,"=ROUND(AVERAGE(E21:E23),1)"
Velocity,Sprint 12,,40,39,"=ROUND(AVERAGE(E22:E24),1)"
Velocity,Sprint 13,,36,35,"=ROUND(AVERAGE(E23:E25),1)"
Velocity,Sprint 14,,32,32,"=ROUND(AVERAGE(E24:E26),1)"
Velocity,Sprint 15,,30,30,"=ROUND(AVERAGE(E25:E27),1)"
Velocity,Sprint 16,,28,28,"=ROUND(AVERAGE(E26:E28),1)"
