WBS_ID,Level,Name,Description,Owner,Estimate_Days,Depends_On,Status
0,1,FoodNow MVP,Toàn bộ dự án MVP,Hà,=F3+F11+F23+F56+F66+F74+F82+F91,,Baseline v1.0
1,2,Quản lý dự án,,,=F4+F7,,Baseline v1.0
1.1,3,Khởi động và lập kế hoạch,,,=SUM(F5:F6),,Baseline v1.0
1.1.1,4,"Charter, scope, PM Plan","Business Case, Charter, Scope Statement, kế hoạch tổng",Hà,15,,Chưa bắt đầu
1.1.2,4,"Stakeholder, RACI, giao tiếp","Register, RACI, kế hoạch giao tiếp, kickoff",Hà,6,1.1.1,Chưa bắt đầu
1.2,3,Điều hành và giám sát,,,=SUM(F8:F10),,Baseline v1.0
1.2.1,4,Điều hành sprint và họp,"Họp Sponsor, sprint ceremony, gỡ blocker suốt dự án",Hà,100,1.1.2,Chưa bắt đầu
1.2.2,4,"Báo cáo, rủi ro, thay đổi","Báo cáo tuần/tháng, RAID, change control",Hà,45,1.1.2,Chưa bắt đầu
1.2.3,4,Quản lý vendor và nguồn lực,"Đồng bộ PayEasy, SMS, bản đồ; kế hoạch nguồn lực",Hà,20,1.1.2,Chưa bắt đầu
2,2,Phân tích và thiết kế,,,=F12+F16+F20,,Baseline v1.0
2.1,3,Phân tích nghiệp vụ,,,=SUM(F13:F15),,Baseline v1.0
2.1.1,4,Epic và backlog ban đầu,"Workshop, epic, backlog v1",Lan,20,1.1.1,Chưa bắt đầu
2.1.2,4,Đặc tả story và tiêu chí chấp nhận,Viết và tinh chỉnh story liên tục theo sprint,Lan,90,2.1.1,Chưa bắt đầu
2.1.3,4,Quy trình nghiệp vụ và workshop người dùng,"Nhà hàng, tài xế, CS",Lan,15,2.1.1,Chưa bắt đầu
2.2,3,Thiết kế UX/UI,,,=SUM(F17:F19),,Baseline v1.0
2.2.1,4,Nghiên cứu và wireframe,"Luồng chính, wireframe 3 app",Mai Anh,20,2.1.1,Chưa bắt đầu
2.2.2,4,UI 3 app và Admin,"Màn hình chi tiết, prototype",Mai Anh,45,2.2.1,Chưa bắt đầu
2.2.3,4,Design system và bàn giao,"Component, hướng dẫn cho Dev",Mai Anh,10,2.2.2,Chưa bắt đầu
2.3,3,Thiết kế kỹ thuật,,,=SUM(F21:F22),,Baseline v1.0
2.3.1,4,Kiến trúc tổng thể và ADR,"Kiến trúc, quyết định kỹ thuật",Dũng,12,1.1.1,Chưa bắt đầu
2.3.2,4,Thiết kế CSDL và API contract,"Schema, hợp đồng API",Dũng,15,2.3.1,Chưa bắt đầu
3,2,Phát triển,,,=F24+F32+F37+F42+F47,,Baseline v1.0
3.1,3,App Khách hàng (iOS/Android),,,=SUM(F25:F31),,Baseline v1.0
3.1.1,4,Đăng ký/đăng nhập OTP,,Khoa,30,2.3.2,Chưa bắt đầu
3.1.2,4,Duyệt và tìm món,,Khoa,55,3.1.1,Chưa bắt đầu
3.1.3,4,Giỏ hàng và đặt đơn,,Tuấn,65,3.1.2,Chưa bắt đầu
3.1.4,4,Thanh toán thẻ và COD (client),,Tuấn,50,3.1.3;6.1.1,Chưa bắt đầu
3.1.5,4,Theo dõi đơn và bản đồ,,Khoa,70,3.1.3,Chưa bắt đầu
3.1.6,4,Lịch sử đơn và đặt lại,,Quỳnh,30,3.1.3,Chưa bắt đầu
3.1.7,4,Thông báo push,,Quỳnh,20,3.5.6,Chưa bắt đầu
3.2,3,App Nhà hàng (web tablet),,,=SUM(F33:F36),,Baseline v1.0
3.2.1,4,Đăng nhập và phân quyền,,FE Web,12,2.3.2,Chưa bắt đầu
3.2.2,4,Nhận và xử lý đơn,,FE Web,45,3.2.1,Chưa bắt đầu
3.2.3,4,Quản lý thực đơn,,FE Web,30,3.2.1,Chưa bắt đầu
3.2.4,4,Báo cáo doanh thu cơ bản,,FE Web,15,3.2.2,Chưa bắt đầu
3.3,3,App Tài xế (Android),,,=SUM(F38:F41),,Baseline v1.0
3.3.1,4,Đăng nhập và hồ sơ,,Quỳnh,15,2.3.2,Chưa bắt đầu
3.3.2,4,Nhận chuyến và điều hướng,,Quỳnh,60,3.3.1;6.3.1,Chưa bắt đầu
