Story_ID,Epic,Story,App,MoSCoW,Reach_1_10,Impact,Confidence,Effort_SP,RICE,Sprint_Target,Status
FN-101,E1,Đăng ký bằng số điện thoại + OTP,Khách,Must,10,3,0.9,5,"=ROUND(F2*G2*H2/I2,2)",Sprint 2,Xong
FN-102,E1,Đăng nhập và duy trì phiên,Khách,Must,10,2,1,3,"=ROUND(F3*G3*H3/I3,2)",Sprint 2,Xong
FN-103,E2,API danh sách nhà hàng,Backend,Must,10,3,0.9,5,"=ROUND(F4*G4*H4/I4,2)",Sprint 2,Xong
FN-104,E2,Danh sách nhà hàng (iOS),Khách,Must,7,3,0.9,5,"=ROUND(F5*G5*H5/I5,2)",Sprint 2,Xong
FN-105,E2,Danh sách nhà hàng (Android),Khách,Must,7,3,0.9,3,"=ROUND(F6*G6*H6/I6,2)",Sprint 2,Xong
FN-106,E1,Kiểm thử OTP tự động,QA,Must,10,1,0.9,3,"=ROUND(F7*G7*H7/I7,2)",Sprint 2,Xong
FN-107,E2,Tìm kiếm món và nhà hàng,Khách,Must,9,2,0.8,5,"=ROUND(F8*G8*H8/I8,2)",Sprint 3,Xong
FN-108,E2,Xem thực đơn và chi tiết món,Khách,Must,10,3,0.9,5,"=ROUND(F9*G9*H9/I9,2)",Sprint 3,Xong
FN-109,E3,Thêm món vào giỏ hàng,Khách,Must,10,3,0.9,5,"=ROUND(F10*G10*H10/I10,2)",Sprint 3,Xong
FN-110,E3,Tạo đơn hàng (chưa thanh toán),Khách,Must,10,3,0.8,8,"=ROUND(F11*G11*H11/I11,2)",Sprint 3,Xong
FN-111,E5,Nhà hàng nhận đơn mới (tablet),Nhà hàng,Must,8,3,0.8,5,"=ROUND(F12*G12*H12/I12,2)",Sprint 4,Xong
FN-112,E5,Nhà hàng xác nhận/từ chối đơn,Nhà hàng,Must,8,3,0.9,3,"=ROUND(F13*G13*H13/I13,2)",Sprint 4,Xong
FN-113,E6,Quản lý thực đơn: thêm/sửa món,Nhà hàng,Must,8,2,0.9,8,"=ROUND(F14*G14*H14/I14,2)",Sprint 4,Xong
FN-114,E4,Thanh toán COD,Khách,Must,9,3,0.9,5,"=ROUND(F15*G15*H15/I15,2)",Sprint 5,Xong
FN-115,E4,Kết nối sandbox PayEasy,Backend,Must,10,3,0.7,8,"=ROUND(F16*G16*H16/I16,2)",Sprint 5,Xong
FN-116,E4,Thanh toán thẻ (luồng khách),Khách,Must,9,3,0.7,13,"=ROUND(F17*G17*H17/I17,2)",Sprint 8,Đang làm
FN-117,E7,Tài xế nhận chuyến,Tài xế,Must,6,3,0.8,8,"=ROUND(F18*G18*H18/I18,2)",Sprint 6,Đang làm
FN-118,E7,Điều hướng và cập nhật trạng thái giao,Tài xế,Must,6,3,0.7,8,"=ROUND(F19*G19*H19/I19,2)",Sprint 7,Đang làm
FN-119,E8,Theo dõi đơn thời gian thực,Khách,Must,9,2,0.6,13,"=ROUND(F20*G20*H20/I20,2)",Sprint 8,Chưa làm
FN-120,E11,Thông báo push theo trạng thái đơn,Tất cả,Should,9,2,0.8,5,"=ROUND(F21*G21*H21/I21,2)",Sprint 9,Chưa làm
FN-121,E9,Lịch sử đơn hàng,Khách,Should,8,1,0.9,3,"=ROUND(F22*G22*H22/I22,2)",Sprint 9,Chưa làm
FN-122,E9,Nút đặt lại đơn cũ,Khách,Should,7,2,0.8,3,"=ROUND(F23*G23*H23/I23,2)",R1 (cắt tuần 20),Đã cắt
FN-123,E5,Báo cáo doanh thu nhà hàng,Nhà hàng,Could,5,2,0.7,8,"=ROUND(F24*G24*H24/I24,2)",R1 (cắt tuần 20),Đã cắt
FN-124,E10,Admin: quản lý người dùng,Admin,Must,3,2,0.9,5,"=ROUND(F25*G25*H25/I25,2)",Sprint 9,Chưa làm
FN-125,E10,Admin: quản lý nhà hàng và thực đơn,Admin,Must,3,2,0.9,5,"=ROUND(F26*G26*H26/I26,2)",Sprint 10,Chưa làm
FN-126,E10,Admin: quản lý đơn và tranh chấp,Admin,Must,3,3,0.8,8,"=ROUND(F27*G27*H27/I27,2)",Sprint 10,Chưa làm
FN-127,E10,Admin: báo cáo cơ bản,Admin,Should,3,2,0.8,5,"=ROUND(F28*G28*H28/I28,2)",Sprint 11,Chưa làm
FN-128,E3,Ghi chú cho nhà hàng khi đặt món,Khách,Could,6,1,0.8,2,"=ROUND(F29*G29*H29/I29,2)",Sprint 11,Chưa làm
FN-129,E3,Hủy đơn của khách,Khách,Must,7,3,0.8,5,"=ROUND(F30*G30*H30/I30,2)",Sprint 8,Chưa làm
FN-130,E11,SMS trạng thái đơn quan trọng,Khách,Could,5,1,0.7,3,"=ROUND(F31*G31*H31/I31,2)",Sprint 11,Chưa làm
TONG,,Tổng story point của mẫu,,,,,,=SUM(I2:I31),,,
