Risk_ID,Type,Risk,Category,Cause_Consequence,P_1_5,I_1_5,Score,Level,Probability,Impact_MVND,EMV_MVND,Strategy,Response_Actions,Trigger,Contingency_Plan,Owner,Status,Date_Raised
R01,Mối đe doạ,PayEasy trễ cấp chứng nhận thanh toán,Vendor,Vendor quá tải hồ sơ → chứng nhận trễ → trễ end-to-end và UAT,5,4,=F2*G2,"=IF(H2>=17,""Rất cao"",IF(H2>=10,""Cao"",IF(H2>=5,""Trung bình"",""Thấp"")))",0.9,80,=J2*K2,Mitigate,Crashing thanh toán end-to-end; fast-tracking kiểm thử bảo mật; họp vendor 2 lần/tuần,Vendor báo trễ; sandbox không ổn định,Dùng dự phòng thuê thêm Dev/QA 4 tuần,Hà,Đã xảy ra (T16) → Issue I-006,2025-12-08
R02,Mối đe doạ,Mất Backend senior (Sơn) — bus factor 1,Nguồn lực,Chỉ một người hiểu dịch vụ đơn hàng/thanh toán → nghỉ việc → chậm,5,3,=F3*G3,"=IF(H3>=17,""Rất cao"",IF(H3>=10,""Cao"",IF(H3>=5,""Trung bình"",""Thấp"")))",0.9,36,=J3*K3,Mitigate,Pair Sơn–Backend 2; ADR thanh toán; tài liệu API,Sơn nộp đơn nghỉ,"Điều động Backend bench, kéo dài lịch 2 tuần",Dũng,Đã xảy ra (T14) → Issue I-004,2026-03-02
R03,Mối đe doạ,Sponsor đổi/thêm yêu cầu liên tục,Phạm vi,Ý tưởng mới ngoài phạm vi → scope creep → vượt lịch/ngân sách,4,3,=F4*G4,"=IF(H4>=17,""Rất cao"",IF(H4>=10,""Cao"",IF(H4>=5,""Trung bình"",""Thấp"")))",0.7,40,=J4*K4,Mitigate,Parking lot; CR có đánh giá tác động; out-of-scope tường minh,≥ 2 yêu cầu ngoài phạm vi/tháng,Hoán đổi với hạng mục Could,Hà,Đang theo dõi,2025-12-08
R04,Mối đe doạ,"PO thiếu thời gian, quyết định chậm",Con người,PO ~50% thời gian → backlog thiếu câu trả lời → story không sẵn sàng,3,3,=F5*G5,"=IF(H5>=17,""Rất cao"",IF(H5>=10,""Cao"",IF(H5>=5,""Trung bình"",""Thấp"")))",0.5,24,=J5*K5,Mitigate,Họp đồng bộ cố định 2 lần/tuần; BA đại diện quyết định nhỏ,Story chờ quyết định > 3 ngày,Sponsor uỷ quyền thêm cho BA,Châu,Đang theo dõi,2025-12-08
R05,Mối đe doạ,Theo dõi đơn thời gian thực không đạt hiệu năng,Kỹ thuật,Tải cao → cập nhật vị trí chậm → trải nghiệm kém,3,4,=F6*G6,"=IF(H6>=17,""Rất cao"",IF(H6>=10,""Cao"",IF(H6>=5,""Trung bình"",""Thấp"")))",0.5,60,=J6*K6,Mitigate,Spike sớm; kiểm thử tải theo sprint; caching,Độ trễ p95 > 5 giây ở test,Giảm tần suất cập nhật; polling,Dũng,Đang theo dõi,2026-02-09
R06,Mối đe doạ,Lộ dữ liệu thẻ/PII,Bảo mật,"Lỗ hổng → lộ dữ liệu → phạt, bồi thường, mất khách",1,5,=F7*G7,"=IF(H7>=17,""Rất cao"",IF(H7>=10,""Cao"",IF(H7>=5,""Trung bình"",""Thấp"")))",0.1,800,=J7*K7,Transfer,Tokenization của PayEasy; pentest bên ngoài; mã hoá,Pentest phát hiện lỗ hổng mức cao,Kế hoạch ứng phó sự cố dữ liệu,Dũng,Đang theo dõi,2025-12-08
R07,Mối đe doạ,Nợ kỹ thuật tích luỹ do lịch căng,Kỹ thuật,Bỏ qua refactor → code khó bảo trì → tốn công về sau,4,3,=F8*G8,"=IF(H8>=17,""Rất cao"",IF(H8>=10,""Cao"",IF(H8>=5,""Trung bình"",""Thấp"")))",0.7,32,=J8*K8,Mitigate,Bảng nợ kỹ thuật; dành 10% sprint trả nợ,Coverage giảm 2 sprint liên tiếp,Sprint trả nợ sau UAT,Dũng,Đang theo dõi,2026-02-27
R08,Mối đe doạ,Chi phí bản đồ vượt quota,Vendor,Lưu lượng cao hơn dự kiến → phí tăng,2,2,=F9*G9,"=IF(H9>=17,""Rất cao"",IF(H9>=10,""Cao"",IF(H9>=5,""Trung bình"",""Thấp"")))",0.3,16,=J9*K9,Mitigate,Cache tuyến; giám sát quota,Dùng > 80% quota,Nâng gói với ngân sách dự phòng,Ánh,Đang theo dõi,2026-03-16
R09,Mối đe doạ,iOS bị từ chối/duyệt chậm ở App Store,Bên ngoài,Review 1–3 ngày; có thể từ chối → trễ phát hành,3,3,=F10*G10,"=IF(H10>=17,""Rất cao"",IF(H10>=10,""Cao"",IF(H10>=5,""Trung bình"",""Thấp"")))",0.5,24,=J10*K10,Mitigate,Submit bản beta sớm; checklist review,Bản beta bị từ chối,Phát hành Android trước,Khoa,Đang theo dõi,2026-03-16
R10,Mối đe doạ,Nhà hàng/tài xế không chấp nhận quy trình mới,Người dùng,Đổi cách làm → phản đối → dùng ít,3,4,=F11*G11,"=IF(H11>=17,""Rất cao"",IF(H11>=10,""Cao"",IF(H11>=5,""Trung bình"",""Thấp"")))",0.5,48,=J11*K11,Mitigate,Workshop; đào tạo; nhóm thử nghiệm,Khảo sát < 70% hài lòng,Hỗ trợ tận nơi; điều chỉnh UX,Lan,Đang theo dõi,2026-01-12
