Lesson_ID,Phase,Lesson,Context,Impact,Action_for_next_project,Owner,Category,Status
LL-01,Khởi động,Ghi ràng buộc ưu tiên một dòng trong Charter,"Time cố định, Scope linh hoạt, Quality thanh toán bất khả nhượng — dùng khi Sponsor ép 6 tháng và khi đàm phán CR",Tích cực: giải quyết ép lịch và CR-001 trong 1 buổi,Dự án mới: thoả thuận và ghi ràng buộc ưu tiên trong Charter trước khi ký,Hà,Phạm vi,Áp dụng
LL-02,Lập kế hoạch,Sprint 0 phải đủ dài khi còn thiếu người và chưa chốt scope,Sprint 0 kế hoạch 2 tuần thực tế 4 tuần,Sprint 1 chỉ đạt 40% cam kết,Khi đội chưa đủ hoặc scope chưa chốt: lên kế hoạch Sprint 0 3–4 tuần và cam kết Sprint 1 ≤ 50% capacity,Hà,Lịch,Áp dụng
LL-03,Thực thi,Mỗi assumption có người kiểm chứng và hạn,"Giả định 'khách gửi API trước 15/03' sai, trễ 19 ngày","Trễ nhánh phụ, suýt chạm đường găng",Ghi mọi giả định vào RAID với owner và hạn; nhắc lại ở buổi RAID 7 ngày trước hạn,Hà,Rủi ro,Áp dụng
LL-04,Khởi động,Rà 8 nhóm stakeholder bằng 4 câu hỏi ở mỗi mốc lớn,CS Manager bị bỏ sót đến tuần 4,Suýt thiếu kịch bản hỗ trợ ở go-live,"Ở kickoff và trước UAT, chạy checklist 8 nhóm; mời người vận hành sớm",Hà,Stakeholder,Áp dụng
LL-05,Thực thi,Giảm bus factor từ tuần đầu,Sơn giữ đơn hàng/thanh toán; nghỉ tuần 14,Mất khoảng 2 tuần công dù có pair,Lập bảng bus factor từ Sprint 0; pair và ADR bắt buộc cho module lõi,Dũng,Con người,Áp dụng
LL-06,Thực thi,Luật nhánh ≤ 5 ngày và PR nhỏ áp dụng từ ngày đầu,Nhánh sống 3 tuần → conflict 200 file,Mất ~2 ngày công,Đưa luật tuổi nhánh và branch protection vào Working Agreement Sprint 0,Dũng,Kỹ thuật,Áp dụng
LL-07,Thực thi,Phụ thuộc vendor trên đường găng cần kế hoạch dự phòng viết sẵn,PayEasy trễ chứng nhận 3 tuần,Giữ go-live nhờ fast-tracking + crashing ≈ 110 triệu,"Với mọi phụ thuộc bên ngoài trên đường găng, viết contingency và quy tắc dùng dự phòng trước",Hà,Vendor,Áp dụng
LL-08,Kiểm thử,Ký tiêu chí Go/No-Go từ khi lập kế hoạch,No-Go lần 1 với 3 Critical không gây tranh cãi,"Quyết định nhanh, không chính trị",Đặt tiêu chí Go/No-Go và ngưỡng Critical/High trong Quality Plan ký với Sponsor,"Hà, Nam",Chất lượng,Áp dụng
LL-09,Phát hành,Config diff staging–production trong checklist mỗi release,TTL cache khác nhau (TD-06) gây INC-001,"Sự cố 3,5 giờ ngày đầu",Bắt buộc rà config diff và nâng rủi ro nợ hạ tầng có khác biệt môi trường,Ánh,Kỹ thuật,Áp dụng
LL-10,Thực thi,Audit lịch họp định kỳ,"Giờ họp 90,5 giờ-người/tuần",Giảm 30% mà không mất thông tin,Audit họp mỗi 2–3 tháng; báo cáo viết thay họp trạng thái,Hà,Quy trình,Áp dụng
LL-11,Thực thi,Tính capacity thực và dùng năng suất thực để dự báo,"Sprint 1 cam kết 55 SP, xong 22",Sprint 2 đạt 96% sau khi sửa,Dùng capacity = (ngày − nghỉ) × availability × focus; forecast theo năng suất sprint trước,Dũng,Lịch,Áp dụng
LL-12,Giám sát,Ngưỡng RAG bằng số và báo tin xấu trong 24 giờ,"SPI 0,95 → 0,90 → 0,82 nhưng Sponsor không bất ngờ",Có quyết định cắt scope trong ngày,Thiết lập ngưỡng RAG số ở tuần 1; mẫu báo tin xấu 5 phần,Hà,Giao tiếp,Áp dụng
